synthetic_id,array_path,source_region_group_id,latitude_deg,label_m1plus_24h,generator_condition,generator_seed,sampling_steps,region_group_id,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
base_2026_RG00004_000000,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00004_000000.npy,RG00004,40.906719,1,base,2026,50,RG00004,29.31270908878002,0.30147541531261635,105.65858300856588,11163.736163378007,36.323110035638265,0.01287841796875,45.0,29.0,74.0,45.21313572120048,0.07502276918393778,0.21966553131207442,41343.87798681507
base_2026_RG00004_000001,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00004_000001.npy,RG00004,40.906719,1,base,2026,50,RG00004,47.78107288636977,0.11703469744437718,190.21611983441892,36182.17224486201,60.69375386343025,0.03521728515625,37.0,42.0,79.0,96.35463324586252,0.06603557973855674,0.18141392369991843,153905.0024195683
base_2026_RG00093_000002,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00093_000002.npy,RG00093,24.604647,1,base,2026,50,RG00093,86.06717917731297,0.3283713197092241,241.7918563697983,58463.30180675317,74.84468821413033,0.05938720703125,86.0,119.0,205.0,110.2744908050574,0.062373607261681674,0.1792556955376,309325.8915670337
base_2026_RG00093_000003,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00093_000003.npy,RG00093,24.604647,1,base,2026,50,RG00093,51.459240607800346,0.2383469460805613,135.9914121093594,18493.664167497624,45.26131046143067,0.032470703125,38.0,62.0,100.0,45.83781270616778,0.0664756282131762,0.18106265204924016,69753.7709827181
base_2026_RG00095_000004,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00095_000004.npy,RG00095,8.808049,1,base,2026,50,RG00095,48.46515573907737,0.7108360445184733,138.39306630172015,19152.640800392313,46.1246466161822,0.0216064453125,13.0,33.0,46.0,8.661294143360099,0.06753286376670979,0.1845736899257005,56247.27893074368
base_2026_RG00095_000005,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00095_000005.npy,RG00095,8.808049,1,base,2026,50,RG00095,82.59099566701632,0.6517845913209057,187.4815329778843,35149.32520773752,61.555931691329015,0.04132080078125,125.0,29.0,154.0,73.98845799573448,0.07289630511407139,0.2210955510866639,137083.22060480787
base_2026_RG00170_000006,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00170_000006.npy,RG00170,16.448763,1,base,2026,50,RG00170,104.34491096728553,0.10805593849676069,285.61942296297326,81578.45477370181,92.23556285462567,0.08013916015625,92.0,159.0,251.0,73.7464565655165,0.06709859977323432,0.19066563027357344,401041.9926846461
base_2026_RG00170_000007,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00170_000007.npy,RG00170,16.448763,1,base,2026,50,RG00170,86.92879997808552,0.9628788765150408,157.33843373578387,24755.38273042965,48.429050072144506,0.025390625,237.0,6.0,243.0,22.002329946409095,0.08119915018453791,0.24753164580645975,53842.052247604
base_2026_RG00188_000008,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00188_000008.npy,RG00188,15.015977,1,base,2026,50,RG00188,37.68980567210321,0.5915169702851818,97.35768274837183,9478.518390132616,35.8830400349991,0.01849365234375,38.0,59.0,97.0,64.33071620112864,0.08693171970590721,0.27052474067603144,31150.84304893235
base_2026_RG00188_000009,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00188_000009.npy,RG00188,15.015977,1,base,2026,50,RG00188,26.192676521079004,0.8617527539636465,62.4077586629351,3894.7283413311516,20.50893964455798,0.00506591796875,23.0,7.0,30.0,56.282366196208166,0.07253814918554825,0.22002655648559682,11395.053081968654
base_2026_RG00229_000010,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00229_000010.npy,RG00229,19.476967,1,base,2026,50,RG00229,18.671735028512543,0.2400993957680299,79.36028943940916,6298.055539906796,28.8424277455969,0.01422119140625,26.0,16.0,42.0,115.12700791589918,0.07513989094107885,0.22474593788392763,26997.038560074103
base_2026_RG00229_000011,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00229_000011.npy,RG00229,19.476967,1,base,2026,50,RG00229,49.08627996982559,0.2876330101843746,156.19268710697568,24396.155505697607,54.474473681221504,0.03411865234375,39.0,33.0,72.0,34.114294342843245,0.07250696908759141,0.19303523140370285,83003.322715709
base_2026_RG00253_000012,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00253_000012.npy,RG00253,-22.133406,1,base,2026,50,RG00253,27.750466591535144,0.013245961158694237,96.86482055724794,9382.793461587844,34.46491255119877,0.018310546875,32.0,37.0,69.0,59.59756355584385,0.071759564508722,0.1680869404092713,28598.78950271498
base_2026_RG00253_000013,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00253_000013.npy,RG00253,-22.133406,1,base,2026,50,RG00253,104.95648181236167,0.5179935441211476,278.69778680055197,77672.45636752591,90.1331816626028,0.0653076171875,148.0,29.0,177.0,54.99706941110734,0.06821602662417824,0.19283867956989004,310587.43699331034
base_2026_RG00270_000014,IRIS_RUN_ROOT/work/runs/base_local_resume/samples/base/arrays/base_2026_RG00270_000014.npy,RG00270,21.9619665,1,base,2026,50,RG00270,74.20282102619818,0.9199962920647816,165.8929247887343,27520.46249496065,59.47500386085977,0.0311279296875,105.0,23.0,128.0,37.398063651318274,0.08762739643834626,0.26151293299124684,71660.66135988972
